request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Requested IDR 15656000. Safe to pay today: IDR 15656000. The full amount is affordable today without spending changes.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Requested ZAR 6670. Safe to pay today: ZAR 6670. The full amount is affordable today without spending changes.
request_28,318.25,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,Requested EUR 1302.4. Safe to pay today: EUR 318.25. Full payment of EUR 1302.4 is expected to be safe from 2024-08-15. Earliest safe full payment: 2024-08-15.
request_29,0,not_affordable,not_recommended,none,"",none,Requested ZAR 51524. Safe to pay today: ZAR 256.36. No safe way to complete this request by the deadline was found.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Requested USD 775.2. Safe to pay today: USD 775.2. Installments fit within the 90-day balance forecast. Installment plan: 2026-04-06:268.74,2026-05-06:268.74,2026-06-05:268.74."
request_31,2586199.5,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Requested IDR 18164000. Safe to pay today: IDR 2586199.5. Full payment of IDR 18164000 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_32,14189.46,affordable_with_plan,wait,2025-04-15:40018,2025-04-15,reduce_to:event_2929:1181.40,Requested ZAR 40018. Safe to pay today: ZAR 13033.06. A payment plan completes the request safely. Spending changes needed: reduce_to:event_2929:1181.40.
request_33,35441.92,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Requested INR 118000. Safe to pay today: INR 35441.92. Full payment of INR 118000 is expected to be safe from 2026-03-15. Earliest safe full payment: 2026-03-15.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Requested INR 129400. Safe to pay today: INR 129400. The full amount is affordable today without spending changes.
request_35,24251.19,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Requested INR 212000. Safe to pay today: INR 24251.19. Full payment of INR 212000 is expected to be safe from 2026-01-15. Earliest safe full payment: 2026-01-15.
request_36,627.31,affordable_with_plan,wait,2026-09-15:3954,2026-09-15,reduce_to:event_3306:64.50,Requested USD 3954. Safe to pay today: USD 560.44. A payment plan completes the request safely. Spending changes needed: reduce_to:event_3306:64.50.
request_37,4936443.74,affordable_with_plan,wait,2024-05-15:14649000,2024-05-15,reduce_to:event_3340:203300,Requested IDR 14649000. Safe to pay today: IDR 4733143.74. A payment plan completes the request safely. Spending changes needed: reduce_to:event_3340:203300.
